Crop Name,Year,Season,State,Area (Ha),Production (Tonnes),Inflation Rate (%),Production Cost (Per Tonne),Market Price (per Tonne),Supply (Tonnes),Demand (Tonnes),Import Volume (tonnes),Export Volume (tonnes),Interest Rate (%),Yield,Profit Margin (%),Category
Arecanut,2016,Kharif     ,Andhra Pradesh,18200.38,150221.43,4.81,51057.99,77408.5,23939.01,13275.67,32622.13,92320.38,12.23,8.25,65.96,wholesale
Arecanut,2016,Rabi       ,Andhra Pradesh,106956.9,82359.88,2.3,32817.58,92319.63,21473.14,56323.05,86977.14,16276.91,10.78,0.77,35.55,retail
Arecanut,2016,Whole Year ,Andhra Pradesh,150418.14,240347.01,1.83,56437.72,72897.55,31984.69,38900.66,70343.18,47164.94,13.3,1.6,77.42,direct
Guar seed,2016,Rabi       ,Andhra Pradesh,34006.53,53367.55,1.09,36108.33,97188.05,10809.37,50260.81,19433.14,27941.16,13.35,1.57,37.15,wholesale
Horse-gram,2016,Kharif     ,Andhra Pradesh,103378.32,393664.45,0.74,26388.2,43834.33,31014.41,26522.93,7487.32,41677.19,11.51,3.81,54.18,retail
Horse-gram,2016,Rabi       ,Andhra Pradesh,42353.53,120116.97,0.55,35021.28,76094.68,13543.31,65944.81,44998.05,54741.32,10.24,2.84,46.02,direct
Jowar,2016,Kharif     ,Andhra Pradesh,45100.68,55366.63,2.85,59897.4,73910.12,15580.68,23260.32,58556.38,82793.64,8.43,1.23,81.04,wholesale
Jowar,2016,Rabi       ,Andhra Pradesh,110144.26,463447.44,4.43,27376.23,63605.04,68530.64,26784.78,27566.34,40775.45,10.87,4.21,38.74,retail
Linseed,2016,Kharif     ,Andhra Pradesh,35007.28,17397.17,8.55,45797.81,95366.35,10508.86,33456.92,15042.07,17491.75,12.02,0.5,48.02,direct
Maize,2016,Kharif     ,Andhra Pradesh,111333.73,337999.24,9.2,21614.27,52009.86,35531.51,15047.3,42983.38,74206.08,10.72,3.04,37.4,wholesale
Maize,2016,Rabi       ,Andhra Pradesh,128094.06,109859.65,9.37,34258.21,99343.36,14499.62,66050.11,25865.41,10162.76,13.52,0.86,34.48,retail
Mesta,2016,Kharif     ,Andhra Pradesh,111501.78,164689.75,3.45,50250.25,85542.14,20835.11,32071.52,32576.72,59037.23,12.66,1.48,58.74,direct
Moong(Green Gram),2016,Kharif     ,Andhra Pradesh,75135.08,172576.9,5.59,51502.16,85563.2,67114.59,30078.29,56543.18,10226.99,8.56,2.3,60.19,wholesale
Moong(Green Gram),2016,Rabi       ,Andhra Pradesh,86954.33,291492.15,7.33,46266.11,56942.66,32702.5,86701.71,18690.45,77089.98,12.42,3.35,73.13,retail
Niger seed,2016,Rabi       ,Andhra Pradesh,108927.85,438021.67,7.59,32336.24,78469.24,14403.6,36289.47,59125.62,104291.02,9.35,4.02,37.09,direct
Oilseeds total,2016,Kharif     ,Andhra Pradesh,46285.43,183652.97,5.38,47334.74,40968.07,30460.96,39254.21,77045.95,20081.68,8.71,3.97,115.54,wholesale
Oilseeds total,2016,Rabi       ,Andhra Pradesh,33851.18,287866.02,3.04,45826.11,75392.91,17170.84,87377.02,10190.39,40176.75,8.93,8.5,54.7,retail
Onion,2016,Kharif     ,Andhra Pradesh,172416.72,476897.27,7.63,25906.08,65170.07,13857.64,13419.61,49815.82,61007.58,12.93,2.77,35.78,direct
Onion,2016,Rabi       ,Andhra Pradesh,177998.62,387293.87,6.79,24908.17,70391.66,61788,13777.51,63899.67,14940.23,13.89,2.18,31.85,wholesale
Other  Rabi pulses,2016,Rabi       ,Andhra Pradesh,29680.05,290119.7,3.48,45788.09,37886.3,30752.81,14648.17,47041.63,59133.47,12.35,9.77,108.77,retail
Other Kharif pulses,2016,Kharif     ,Andhra Pradesh,146908.56,249881.18,4.72,49064.35,84043.63,15986.51,57616.8,86558.83,95372.7,13.82,1.7,58.38,direct
Potato,2016,Kharif     ,Andhra Pradesh,149412.81,43898.43,4.76,40081.32,41550.35,37227.51,55405.98,78874.63,86837.21,8.86,0.29,96.46,wholesale
Potato,2016,Rabi       ,Andhra Pradesh,26585.38,27351.08,0.89,25774.96,76837.51,33518.69,16895.93,53595.24,59022.06,12.64,1.03,33.54,retail
Ragi,2016,Kharif     ,Andhra Pradesh,175720.07,328715.1,8.74,58531.21,51371.6,49018.24,29709.74,44131.35,53203.43,9.97,1.87,102.54,direct
